ID,Název nemovitosti,src_web,ins_dt,upd_dt,del_flag,URL,Cena,Poznámka k ceně,Upozornění,Číslo zakázky,Druh pozemku,Celková plocha,Inženýrské sítě,Typ nemovitosti,Umístění objektu,GPS souřadnice,listing_hash,Poloha objektu,Počet podlaží v objektu,Užitná plocha,Plocha parcely,Druh objektu,Stav objektu,K nastěhování,Elektřina,Odpad,Zastavěná plocha,Typ domu,Energetická náročnost budovy,Dispozice,Číslo podlaží,Podlahová plocha,Vlastnictví,Voda,Vybaveno,Charakter okolní zástavby,Doprava,Garáž,Plyn,Telekomunikace,Umístění v chráněných lokalitách,Výtah,Bezbariérový byt,Plocha zahrady,Počet parkovacích míst,Počet podlaží pod zemí,Měrná vypočtená roční spotřeba energie v kWh/m²/rok,Ostatní rozvody,Občanská vybavenost,Plocha kanceláří,Vybavení kanceláří
409347,"Prodej pozemku 21819 m², Hukvaldy(ID 133-NP02377)",remax,2025-05-16 20:54:06,2025-05-16 20:56:00,True,https://www.remax-czech.cz/reality/detail/409347/prodej-pozemku-21819-m2-hukvaldy,"10 999 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 133-NP02377,Pro bydlení,21 819 m²,Vodovod,Pozemky,Klidná část obce,"49°37'12.7""N,18°13'07.2""E",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414490,"Prodej domu 115 m², Dolní Chvatliny(ID 059-NP07517)",remax,2025-05-16 20:54:06,2025-05-16 20:54:06,False,https://www.remax-czech.cz/reality/detail/414490/prodej-domu-115-m2-dolni-chvatliny,"4 400 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 059-NP07517,,,,Domy a vily,,"49°58'50.8""N,15°04'14.1""E",d5987a701ed215e2f5cf27f44908d5925d0ee2700ebcc5455d559acf4113f334,Samostatný,2.0,115 m²,1 033 m²,Smíšená,Velmi dobrý,20. 5. 2025,"230 V, 400 V",Kanalizace,103 m²,Přízemní,G,,,,,,,,,,,,,,,,,,,,,,
414505,"Prodej garáže, Brno(ID 163-NP04968)",remax,2025-05-16 20:54:06,2025-05-16 20:54:06,False,https://www.remax-czech.cz/reality/detail/414505/prodej-garaze-brno,Cena na vyžádání v kanceláři,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 163-NP04968,,,,"Malé objekty, garáže",Klidná část obce,,91d39187d7289bc1c100f90b431681156fc1c8f97d62eb78abe698cd377d8843,,,18 m²,,Cihlová,Dobrý,16. 5. 2025,,,,Přízemní,,,,,,,,,,,,,,,,,,,,,,,
414519,"Prodej bytu 3+1 v osobním vlastnictví 79 m², Dobruška(ID 010-NP04790)",remax,2025-05-16 20:54:06,2025-05-16 20:54:06,False,https://www.remax-czech.cz/reality/detail/414519/prodej-bytu-3-1-v-osobnim-vlastnictvi-79-m2-dobruska,"4 500 000
																		CZK/ za nemovitost",cena je včetně provize a veškerého právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 010-NP04790,,,,Byty,Klidná část obce,"50°17'46.2""N,16°09'56.8""E",36794ad93afa9cbf98b291ffc6812cd7b0bb4707f8787d9e23fc59a5916b1d81,,3.0,79 m²,,Cihlová,Velmi dobrý,,230 V,Kanalizace,438 m²,,G,3+1,1.0,79 m²,Osobní,Dálkový rozvod,Ano,,,,,,,,,,,,,,,,
414552,"Prodej bytu 2+kk v osobním vlastnictví 58 m², Harrachov(ID 273-NP03930)",remax,2025-05-16 20:54:06,2025-05-16 20:54:06,False,https://www.remax-czech.cz/reality/detail/414552/prodej-bytu-2-kk-v-osobnim-vlastnictvi-58-m2-harrachov,"7 450 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 273-NP03930,,,,Byty,Klidná část obce,"50°46'38.4""N,15°24'49.8""E",57a635385cd4ae7b2bf4166565b922287d809ef30a2853e3ffba31402989c5f4,,5.0,58 m²,,Smíšená,Velmi dobrý,1. 5. 2025,230 V,Kanalizace,437 m²,,G,2+kk,2.0,58 m²,Osobní,"Zdroj pro celý objekt, Dálkový rozvod",Ano,Obytná,"Vlak, Silnice, MHD, Autobus",Ano,Plynovod,Internet,Ochranné pásmo,Ano,,,,,,,,,
414527,"Prodej ubytovacího zařízení 536 m², Sedlec-Prčice(ID 176-NP01589)",remax,2025-05-16 20:54:06,2025-05-16 20:54:06,False,https://www.remax-czech.cz/reality/detail/414527/prodej-ubytovaciho-zarizeni-536-m2-sedlec-prcice,"13 700 000
																		CZK/ za nemovitost","Včetně DPH, provize a právních služeb",Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 176-NP01589,,536 m²,,"Hotely, penziony a restaurace",,"49°33'49.2""N,14°31'35.6""E",629ff1c484fca8a99faff0080e4bba0ee169ceab38c230d5c40aae9092e2339a,,2.0,536 m²,2 164 m²,Smíšená,Dobrý,,"230 V, 400 V",Čistička odpadních vod pro celý objekt,463 m²,Patrový,A,,,,,Dálkový rozvod,Ano,,"Silnice, Autobus",,Plynovod,,,,Ano,1 701 m²,10.0,1.0,49.0,,,,
414447,"Prodej pozemku 595 m², Kaznějov(ID 179-NP02302)",remax,2025-05-16 20:54:06,2025-05-16 20:54:06,False,https://www.remax-czech.cz/reality/detail/414447/prodej-pozemku-595-m2-kaznejov,"560 000
																		CZK/ za nemovitost",včetně provize a právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 179-NP02302,Zahrada,595 m²,Elektřina,Pozemky,Klidná část obce,"49°53'49.1""N,13°23'12""E",0a64c9a6a0d8a50896a99cf5166fbb3316dc7d8cbad49f0adb48c30e3e0113c7,,,,,,,31. 5. 2025,230 V,,,,,,,,,Zdroj pro celý objekt,,,"Vlak, Silnice, Autobus",,,,,,,,,,,,,,
414502,"Prodej pozemku 553 m², Vyžlovka(ID 010-NP04788)",remax,2025-05-16 20:54:06,2025-05-16 20:54:06,False,https://www.remax-czech.cz/reality/detail/414502/prodej-pozemku-553-m2-vyzlovka,"6 490 000
																		CZK/ za nemovitost",cena je včetně provize a veškerého právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 010-NP04788,Pro bydlení,553 m²,"Vodovod, Kanalizace, Elektřina",Pozemky,Klidná část obce,"49°59'07.3""N,14°47'25""E",162affa534951cd6697c9fc7994a9e81339abde4402565c83010882a64557955,,,,,,,,230 V,Kanalizace,,,,,,,,Dálkový rozvod,,,,,,,,,,,,,,,,,
414504,"Prodej domu 263 m², Vyžlovka(ID 010-NP04789)",remax,2025-05-16 20:54:06,2025-05-16 20:54:06,False,https://www.remax-czech.cz/reality/detail/414504/prodej-domu-263-m2-vyzlovka,"6 490 000
																		CZK/ za nemovitost",cena je včetně provize a veškerého právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 010-NP04789,,,,Domy a vily,Klidná část obce,"49°59'07.2""N,14°47'25""E",09607d43e95b07d3c8cd8f540d4b8197f701a10516dfd9b502eda0b8333ada30,Samostatný,2.0,263 m²,553 m²,Cihlová,Před rekonstrukcí,,230 V,Kanalizace,174 m²,Přízemní,C,,,,,Dálkový rozvod,,,,,,,,,,,,,,,,,
414501,"Prodej domu 250 m², Koryčany(ID 163-NP04966)",remax,2025-05-16 20:54:06,2025-05-16 20:54:06,False,https://www.remax-czech.cz/reality/detail/414501/prodej-domu-250-m2-korycany,"6 363 000
																		CZK/ za nemovitost",cena je uvedena bez dph,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 163-NP04966,,,,Domy a vily,,"49°05'32.3""N,17°07'47""E",a70a6ff22f673ca20ff79710dc94507910aa4770fdeadbb21b31a62b99337b49,Řadový,1.0,250 m²,600 m²,Cihlová,Velmi dobrý,,"230 V, 400 V",Kanalizace,293 m²,Přízemní,G,,,,,Dálkový rozvod,,,,Ano,,,,,,,3.0,,,,,,
